,score,pval
officials,5.454145,0.01952196
hypermobile,5.443939,0.01963633
piggie,5.409186,0.02003105
sorry,5.405052,0.02007855
harbour,5.393973,0.02020641
lysa,5.373937,0.0204398
weaned,5.352998,0.02068667
lykke,5.338633,0.02085783
gpt,5.275818,0.02162363
suarez,5.270445,0.02169047
klonopin,5.249768,0.0219497
date,5.23285,0.02216419
sliver,5.213526,0.02241184
chronotherapy,5.211595,0.02243675
stangmods,5.21103,0.02244403
arkas,5.197839,0.02261499
everything,5.15286,0.02320812
recently,5.138522,0.02340057
celexa,5.132947,0.02347584
glebe,5.132809,0.0234777
yetii,5.113628,0.02373863
time,5.104196,0.02386804
gusset,5.103224,0.02388141
thing,5.090458,0.02405784
anything,5.080075,0.02420233
tf,5.069612,0.02434884
dai,5.062932,0.02444286
newedge,5.043466,0.02471898
shrines,5.040509,0.02476122
pads,5.032314,0.02487863
picky,5.019385,0.02506507
bkbs,5.015278,0.0251246
confident,5.012093,0.02517085
enjoy,5.004731,0.02527812
ebrake,4.986202,0.02555023
it,4.962257,0.02590637
your,4.946691,0.02614066
yetiiwho,4.907008,0.02674794
clinkz,4.854598,0.02757253
vape,4.853773,0.02758573
wedding,4.835022,0.02788728
people,4.797208,0.02850589
gapps,4.782532,0.02874982
aeropostale,4.777215,0.02883872
if,4.731151,0.02962106
zxcvfr,4.713789,0.02992164
midlane,4.70831,0.03001714
roamin,4.700958,0.03014581
counsellors,4.692873,0.03028796
stressful,4.666493,0.03075668
nightlies,4.620251,0.03159661
felting,4.609881,0.03178823
loving,4.602007,0.03193454
newedgemustang,4.584284,0.03226645
waterford,4.58369,0.03227764
peruvians,4.567158,0.03259059
vagina,4.556577,0.03279255
laptop,4.55161,0.03288781
ortons,4.532959,0.03324808
still,4.526775,0.03336844
meepo,4.521946,0.03346275
experience,4.488691,0.03411979
helpful,4.477866,0.03433657
rememberer,4.442681,0.03505117
cat,4.437452,0.03515869
insomnia,4.433378,0.03524269
dress,4.412509,0.03567632
kind,4.412298,0.03568074
hard,4.379381,0.03637621
day,4.378184,0.03640175
too,4.368222,0.03661517
forces,4.350504,0.03699798
darvanshel,4.269488,0.03880263
comedones,4.230298,0.03970848
sweater,4.228067,0.0397607
painful,4.220499,0.03993841
jaird,4.213617,0.04010074
around,4.208761,0.0402157
apathetic,4.201083,0.04039816
search,4.198732,0.04045422
sdcard,4.164889,0.04127012
poconos,4.153298,0.04155351
un,4.14793,0.04168546
atandt,4.104705,0.04276405
generiks,4.050318,0.04416302
omnirom,4.047057,0.04424842
appreciate,4.035751,0.04454583
nitesmoke,4.021718,0.04491795
alucard,4.019393,0.04497991
then,3.989794,0.04577666
telling,3.98355,0.04594662
stormcloaks,3.970602,0.04630123
millbees,3.964093,0.04648056
lcms,3.962991,0.04651099
hawkman,3.939993,0.04715097
bomer,3.939324,0.04716972
nisovin,3.928062,0.04748665
knit,3.915502,0.04784272
sounds,3.889102,0.04860039
kunkka,3.887466,0.04864778
mind,3.869564,0.0491693
mycareer,3.868513,0.0492001
sit,3.834008,0.0502227
pick,3.807892,0.05101163
never,3.802601,0.05117304
schoolies,3.770568,0.0521619
officers,3.753884,0.05268497
former,3.733831,0.05332095
triple,3.72841,0.05349429
flv,3.700912,0.05438274
niresh,3.652809,0.05597472
ask,3.628283,0.05680538
honest,3.618584,0.05713749
stun,3.617239,0.0571837
lesnar,3.616981,0.05719256
